Time,LNS14000001,Unemployment,LNS14000002
2/1/71,5.3,5.9,6.8
3/1/71,5.3,6,7.1
4/1/71,5.2,5.9,7
5/1/71,5.3,5.9,6.9
6/1/71,5.3,5.9,6.9
7/1/71,5.4,6,7
8/1/71,5.5,6.1,7
9/1/71,5.4,6,6.9
10/1/71,5.2,5.8,6.8
11/1/71,5.4,6,7
12/1/71,5.5,6,6.8
1/1/72,5.3,5.8,6.7
2/1/72,5.3,5.7,6.4
3/1/72,5.3,5.8,6.7
4/1/72,5.1,5.7,6.7
5/1/72,5.1,5.7,6.6
6/1/72,4.9,5.7,6.8
7/1/72,4.8,5.6,7
8/1/72,4.9,5.6,6.9
9/1/72,4.8,5.5,6.7
10/1/72,4.8,5.6,6.8
11/1/72,4.6,5.3,6.2
12/1/72,4.5,5.2,6.2
1/1/73,4.2,4.9,6.1
2/1/73,4.3,5,6.2
3/1/73,4.3,4.9,6
4/1/73,4.3,5,6.1
5/1/73,4.3,4.9,5.7
6/1/73,4.1,4.9,6
7/1/73,4,4.8,6
8/1/73,4.1,4.8,6
9/1/73,4,4.8,6.1
10/1/73,3.9,4.6,5.7
11/1/73,4.1,4.8,6
12/1/73,4.2,4.9,6.1
1/1/74,4.4,5.1,6.2
2/1/74,4.5,5.2,6.2
3/1/74,4.4,5.1,6.1
4/1/74,4.5,5.1,6
5/1/74,4.4,5.1,6.3
6/1/74,4.6,5.4,6.5
7/1/74,4.7,5.5,6.8
8/1/74,4.8,5.5,6.5
9/1/74,5,5.9,7.1
10/1/74,5.3,6,7.1
11/1/74,5.8,6.6,7.9
12/1/74,6.4,7.2,8.3
1/1/75,7.3,8.1,9.2
2/1/75,7.4,8.1,9.1
3/1/75,7.9,8.6,9.6
4/1/75,8.2,8.8,9.6
5/1/75,8.4,9,9.8
6/1/75,8.3,8.8,9.4
7/1/75,8.2,8.6,9.3
8/1/75,7.9,8.4,9.2
9/1/75,8,8.4,9
10/1/75,7.8,8.4,9.2
11/1/75,7.8,8.3,9
12/1/75,7.6,8.2,9.1
1/1/76,7.3,7.9,8.9
2/1/76,7,7.7,8.8
3/1/76,6.9,7.6,8.6
4/1/76,7,7.7,8.6
5/1/76,6.9,7.4,8.1
6/1/76,7.1,7.6,8.4
7/1/76,7.1,7.8,8.8
8/1/76,6.9,7.8,9
9/1/76,7,7.6,8.7
10/1/76,7,7.7,8.7
11/1/76,7.3,7.8,8.7
12/1/76,7.2,7.8,8.5
1/1/77,6.8,7.5,8.5
2/1/77,7,7.6,8.6
3/1/77,6.6,7.4,8.6
4/1/77,6.4,7.2,8.4
5/1/77,6.4,7,7.9
6/1/77,6.4,7.2,8.4
7/1/77,6.1,6.9,8
8/1/77,6.2,7,8.1
9/1/77,5.8,6.8,8.1
10/1/77,6,6.8,7.9
11/1/77,5.8,6.8,8.1
12/1/77,5.5,6.4,7.5
1/1/78,5.6,6.4,7.6
2/1/78,5.6,6.3,7.2
3/1/78,5.6,6.3,7.2
4/1/78,5.3,6.1,7.1
5/1/78,5.2,6,7.2
6/1/78,4.9,5.9,7.2
7/1/78,5.1,6.2,7.6
8/1/78,5,5.9,7.2
9/1/78,5.1,6,7.2
10/1/78,5.1,5.8,6.7
11/1/78,5,5.9,7
12/1/78,5.3,6,7
1/1/79,5.1,5.9,6.9
2/1/79,5.2,5.9,6.9
3/1/79,5.1,5.8,6.8
4/1/79,5.1,5.8,6.8
5/1/79,4.8,5.6,6.7
6/1/79,4.9,5.7,6.8
7/1/79,5.1,5.7,6.6
8/1/79,5.2,6,7.1
9/1/79,5.2,5.9,6.7
10/1/79,5.3,6,6.9
11/1/79,5.3,5.9,6.7
12/1/79,5.3,6,6.8
1/1/80,5.8,6.3,6.9
2/1/80,5.8,6.3,7
3/1/80,5.9,6.3,6.9
4/1/80,6.7,6.9,7.2
5/1/80,7.4,7.5,7.5
6/1/80,7.6,7.6,7.6
7/1/80,7.8,7.8,7.8
8/1/80,7.7,7.7,7.8
9/1/80,7.6,7.5,7.3
10/1/80,7.4,7.5,7.7
11/1/80,7.3,7.5,7.6
12/1/80,6.9,7.2,7.6
1/1/81,7.2,7.5,7.8
2/1/81,7.3,7.4,7.7
3/1/81,7.1,7.4,7.7
4/1/81,6.9,7.2,7.6
5/1/81,7.3,7.5,7.8
6/1/81,7.3,7.5,7.8
7/1/81,6.9,7.2,7.7
8/1/81,7.2,7.4,7.7
9/1/81,7.2,7.6,8.1
10/1/81,7.7,7.9,8.3
11/1/81,8.1,8.3,8.4
12/1/81,8.5,8.5,8.5
1/1/82,8.7,8.6,8.5
2/1/82,8.8,8.9,8.9
3/1/82,9.1,9,8.9
4/1/82,9.4,9.3,9.3
5/1/82,9.4,9.4,9.3
6/1/82,9.8,9.6,9.2
7/1/82,10,9.8,9.6
8/1/82,10.2,9.8,9.4
9/1/82,10.6,10.1,9.5
10/1/82,10.9,10.4,9.8
11/1/82,11.1,10.8,10.2
12/1/82,11.2,10.8,10.4
1/1/83,10.7,10.4,10.1
2/1/83,10.9,10.4,9.9
3/1/83,10.7,10.3,9.8
4/1/83,10.7,10.2,9.5
5/1/83,10.5,10.1,9.5
6/1/83,10.1,10.1,9.9
7/1/83,9.8,9.4,9
8/1/83,9.8,9.5,9
9/1/83,9.5,9.2,8.7
10/1/83,9.1,8.8,8.5
11/1/83,8.6,8.5,8.2
12/1/83,8.3,8.3,8.3
1/1/84,8.1,8,7.9
2/1/84,7.8,7.8,7.8
3/1/84,7.7,7.8,7.8
4/1/84,7.7,7.7,7.8
5/1/84,7.3,7.4,7.6
6/1/84,7.1,7.2,7.4
7/1/84,7.4,7.5,7.6
8/1/84,7.3,7.5,7.8
9/1/84,7.3,7.3,7.4
10/1/84,7.1,7.4,7.7
11/1/84,7,7.2,7.4
12/1/84,7.2,7.3,7.4
1/1/85,7.1,7.3,7.6
2/1/85,7.1,7.2,7.4
3/1/85,7,7.2,7.5
4/1/85,7.1,7.3,7.5
5/1/85,6.9,7.2,7.6
6/1/85,7.2,7.4,7.5
7/1/85,7.2,7.4,7.6
8/1/85,6.9,7.1,7.3
9/1/85,6.9,7.1,7.4
10/1/85,7.1,7.1,7.3
11/1/85,6.9,7,7.2
12/1/85,6.8,7,7.2
1/1/86,6.5,6.7,6.9
2/1/86,7,7.2,7.4
3/1/86,7,7.2,7.4
4/1/86,6.9,7.1,7.4
5/1/86,7.1,7.2,7.3
6/1/86,7.1,7.2,7.3
7/1/86,7.1,7,7
8/1/86,6.9,6.9,6.9
9/1/86,7.1,7,6.9
10/1/86,7,7,6.9
11/1/86,6.9,6.9,6.9
12/1/86,6.7,6.6,6.5
1/1/87,6.7,6.6,6.6
2/1/87,6.6,6.6,6.6
3/1/87,6.5,6.6,6.7
4/1/87,6.3,6.3,6.3
5/1/87,6.4,6.3,6.2
6/1/87,6.3,6.2,6
7/1/87,6.1,6.1,6
8/1/87,6.1,6,6
9/1/87,5.8,5.9,6
10/1/87,5.9,6,6.1
11/1/87,5.7,5.8,6
12/1/87,5.7,5.7,5.8
1/1/88,5.7,5.7,5.8
2/1/88,5.6,5.7,5.9
3/1/88,5.7,5.7,5.7
4/1/88,5.3,5.4,5.6
5/1/88,5.6,5.6,5.6
6/1/88,5.4,5.4,5.4
7/1/88,5.3,5.4,5.5
8/1/88,5.6,5.6,5.6
9/1/88,5.3,5.4,5.5
10/1/88,5.4,5.4,5.4
11/1/88,5.3,5.3,5.3
12/1/88,5.3,5.3,5.3
1/1/89,5.4,5.4,5.4
2/1/89,5.2,5.2,5.1
3/1/89,4.9,5,5.2
4/1/89,5.2,5.2,5.3
5/1/89,5,5.2,5.4
6/1/89,5.1,5.3,5.6
7/1/89,5,5.2,5.6
8/1/89,5.1,5.2,5.4
9/1/89,5.4,5.3,5.2
10/1/89,5.3,5.3,5.4
11/1/89,5.4,5.4,5.4
12/1/89,5.3,5.4,5.4
1/1/90,5.4,5.4,5.3
2/1/90,5.2,5.3,5.4
3/1/90,5.2,5.2,5.3
4/1/90,5.4,5.4,5.4
5/1/90,5.3,5.4,5.4
6/1/90,5.3,5.2,5.2
7/1/90,5.6,5.5,5.4
8/1/90,5.8,5.7,5.6
9/1/90,5.9,5.9,5.8
10/1/90,6.1,5.9,5.7
11/1/90,6.4,6.2,5.9
12/1/90,6.5,6.3,5.9
1/1/91,6.5,6.4,6.2
2/1/91,6.9,6.6,6.1
3/1/91,7.2,6.8,6.3
4/1/91,7.1,6.7,6.2
5/1/91,7.2,6.9,6.6
6/1/91,7.2,6.9,6.5
7/1/91,7.2,6.8,6.3
8/1/91,7.2,6.9,6.5
9/1/91,7.3,6.9,6.4
10/1/91,7.3,7,6.6
11/1/91,7.4,7,6.7
12/1/91,7.6,7.3,6.9
1/1/92,7.8,7.3,6.7
2/1/92,7.9,7.4,6.9
3/1/92,7.9,7.4,6.9
4/1/92,7.7,7.4,6.9
5/1/92,8.1,7.6,7.1
6/1/92,8.3,7.8,7.3
7/1/92,8,7.7,7.3
8/1/92,8,7.6,7.2
9/1/92,8,7.6,7.2
10/1/92,7.8,7.3,6.8
11/1/92,7.8,7.4,7
12/1/92,7.6,7.4,7.2
1/1/93,7.4,7.3,7
2/1/93,7.4,7.1,6.9
3/1/93,7.5,7,6.5
4/1/93,7.4,7.1,6.7
5/1/93,7.3,7.1,6.8
6/1/93,7.4,7,6.7
7/1/93,7.2,6.9,6.5
8/1/93,7.1,6.8,6.4
9/1/93,7,6.7,6.4
10/1/93,6.9,6.8,6.5
11/1/93,6.7,6.6,6.5
12/1/93,6.6,6.5,6.4
1/1/94,6.8,6.6,6.4
2/1/94,6.7,6.6,6.4
3/1/94,6.5,6.5,6.5
4/1/94,6.4,6.4,6.3
5/1/94,6.1,6.1,6
6/1/94,6.1,6.1,6.1
7/1/94,6.3,6.1,5.9
8/1/94,6.1,6,6
9/1/94,5.8,5.9,5.9
10/1/94,5.8,5.8,5.7
11/1/94,5.6,5.6,5.6
12/1/94,5.5,5.5,5.5
1/1/95,5.6,5.6,5.6
2/1/95,5.4,5.4,5.5
3/1/95,5.3,5.4,5.5
4/1/95,5.6,5.8,5.9
5/1/95,5.8,5.6,5.5
6/1/95,5.6,5.6,5.7
7/1/95,5.6,5.7,5.8
8/1/95,5.7,5.7,5.6
9/1/95,5.6,5.6,5.7
10/1/95,5.4,5.5,5.7
11/1/95,5.7,5.6,5.5
12/1/95,5.7,5.6,5.5
1/1/96,5.6,5.6,5.8
2/1/96,5.6,5.5,5.4
3/1/96,5.6,5.5,5.3
4/1/96,5.6,5.6,5.5
5/1/96,5.6,5.6,5.5
6/1/96,5.3,5.3,5.3
7/1/96,5.5,5.5,5.4
8/1/96,5,5.1,5.3
9/1/96,5.2,5.2,5.2
10/1/96,5.1,5.2,5.4
11/1/96,5.3,5.4,5.4
12/1/96,5,5.4,5.7
1/1/97,5.3,5.3,5.3
2/1/97,5.1,5.2,5.4
3/1/97,5.1,5.2,5.2
4/1/97,5.1,5.1,5
5/1/97,4.6,4.9,5.2
6/1/97,5,5,5
7/1/97,4.8,4.9,5
8/1/97,4.8,4.8,4.9
9/1/97,4.7,4.9,5
10/1/97,4.7,4.7,4.7
11/1/97,4.6,4.6,4.7
12/1/97,4.7,4.7,4.8
1/1/98,4.5,4.6,4.8
2/1/98,4.5,4.6,4.8
3/1/98,4.6,4.7,4.8
4/1/98,4.1,4.3,4.6
5/1/98,4.3,4.4,4.5
6/1/98,4.4,4.5,4.6
7/1/98,4.6,4.5,4.5
8/1/98,4.4,4.5,4.6
9/1/98,4.6,4.6,4.6
10/1/98,4.4,4.5,4.7
11/1/98,4.3,4.4,4.6
12/1/98,4.3,4.4,4.4
1/1/99,4.2,4.3,4.4
2/1/99,4.3,4.4,4.5
3/1/99,3.9,4.2,4.4
4/1/99,4.1,4.3,4.6
5/1/99,4.2,4.2,4.2
6/1/99,4.2,4.3,4.4
7/1/99,4.2,4.3,4.5
8/1/99,4.1,4.2,4.3
9/1/99,4.1,4.2,4.4
10/1/99,4.1,4.1,4.1
11/1/99,4,4.1,4.2
12/1/99,4,4,4.1
1/1/00,3.9,4,4.1
2/1/00,4.1,4.1,4.1
3/1/00,3.8,4,4.3
4/1/00,3.7,3.8,4
5/1/00,3.9,4,4.2
6/1/00,3.8,4,4.1
7/1/00,3.9,4,4.2
8/1/00,3.9,4.1,4.3
9/1/00,3.9,3.9,4
10/1/00,3.9,3.9,3.9
11/1/00,3.9,3.9,4
12/1/00,4,3.9,3.8
1/1/01,4.2,4.2,4.1
2/1/01,4.3,4.2,4.2
3/1/01,4.3,4.3,4.2
4/1/01,4.5,4.4,4.3
5/1/01,4.4,4.3,4.2
6/1/01,4.6,4.5,4.4
7/1/01,4.6,4.6,4.5
