Time,LNS14000001,Unemployment,LNS14000002
12/1/21,3.9,3.9,3.9
1/1/22,4.1,4,3.9
2/1/22,3.8,3.8,3.9
3/1/22,3.6,3.6,3.7
4/1/22,3.8,3.7,3.5
5/1/22,3.6,3.6,3.6
6/1/22,3.7,3.6,3.6
7/1/22,3.6,3.5,3.4
8/1/22,3.7,3.6,3.5
9/1/22,3.5,3.5,3.4
10/1/22,3.6,3.6,3.6
11/1/22,3.7,3.6,3.6
12/1/22,3.4,3.5,3.5
1/1/23,3.6,3.4,3.3
2/1/23,3.6,3.6,3.5
3/1/23,3.6,3.5,3.4
4/1/23,3.5,3.4,3.4
5/1/23,3.7,3.7,3.6
6/1/23,3.7,3.6,3.4
7/1/23,3.7,3.5,3.4
8/1/23,4,3.8,3.5
9/1/23,4.1,3.8,3.4
10/1/23,4.1,3.8,3.6
11/1/23,4,3.7,3.4
12/1/23,3.9,3.7,3.6
1/1/24,3.9,3.7,3.4
